id;coord_x;coord_y
0;1913686.94533;4222576.58197
1;1912951.76222;4222286.73436
2;1914217.05403;4222260.65282
3;1914938.09145;4222693.9062
4;1915354.39721;4224655.89146
5;1915057.30358;4222168.08422
6;1912500.28341;4221863.75518
7;1914616.31396;4221576.41379
8;1914660.04776;4221734.9178
9;1914659.40725;4225386.21013
10;1912500.98661;4221922.69342
11;1915345.50279;4221489.59428
12;1914919.63217;4223317.94627
13;1913176.88635;4224369.45758
14;1913846.18687;4224741.54834
15;1915180.43477;4224944.40945
16;1913621.00246;4223111.14813
17;1914777.03565;4222480.32669
18;1915544.08025;4223194.60386
19;1912784.76771;4223070.49609
20;1913679.24279;4225161.48552
21;1914218.23632;4222245.81057
22;1912637.51557;4221745.90317
23;1915375.02016;4225286.65019
24;1913668.28314;4221604.95906
25;1915192.05311;4221508.65913
26;1914243.33755;4221729.86489
27;1914717.06707;4222182.60323
28;1914933.70718;4223275.0693
29;1914863.8515;4225327.86027
30;1915211.51715;4222611.12025
31;1913987.92202;4221672.56806
32;1914787.95319;4224934.20161
33;1914489.61605;4221640.61635
34;1914964.55696;4222554.91506
35;1912846.94408;4221901.85932
36;1914220.49934;4222210.59343
37;1914805.93832;4222265.18845
38;1913687.00074;4224695.09796
39;1915402.64243;4224725.04581
40;1913380.81571;4225349.9864
41;1915715.84124;4223443.31305
42;1914194.10001;4224948.56739
43;1914151.62377;4222103.20909
44;1913669.92897;4221456.78376
45;1915132.24038;4222411.92013
46;1915443.59861;4223180.76349
47;1914036.53331;4222885.58848
48;1914726.51821;4221752.03623
49;1915478.58147;4224558.6088
50;1914421.49192;4221527.98374
51;1914334.07367;4221975.56129
52;1914679.96262;4221640.21737
53;1914382.89306;4224030.22525
54;1914206.61462;4222781.5566
55;1913418.2494;4225312.56931
56;1912694.58965;4221471.54122
57;1915494.30076;4222776.9628
58;1913403.81308;4223608.31823
59;1914694.12956;4222668.64999
60;1914579.50831;4224286.74173
61;1913863.30736;4223346.04061
62;1914460.36775;4224659.4263
63;1915478.97033;4224599.38375
64;1912443.95653;4223646.32957
65;1914257.57205;4222520.36849
66;1912487.01794;4223733.54667
67;1914679.70828;4222986.53498
68;1915384.42761;4222946.16542
69;1915022.70593;4222809.28229
70;1913133.95835;4224412.33247
71;1914819.69091;4220554.6842
72;1915540.18291;4223262.17349
73;1913380.15388;4225347.07072
74;1914524.76106;4223839.46951
75;1915571.78969;4223189.30436
76;1914235.59074;4221623.69337
77;1915583.98811;4223591.06623
78;1915101.80281;4224850.59211
79;1911926.18979;4226514.0732
80;1915116.53179;4221805.49862
81;1915594.77653;4222913.95806
82;1911937.302;4226233.66307
83;1914282.9282;4224093.77259
84;1914207.0555;4222155.71154
85;1915177.3714;4223130.1588
86;1913399.91163;4225349.78282
87;1913793.7869;4223626.80955
88;1914669.24344;4223152.71404
89;1915637.63594;4223958.69534
90;1915047.91937;4222018.18117
91;1913720.7141;4225240.81862
92;1912452.00973;4226017.26407
93;1913103.16945;4222079.29339
94;1913163.44986;4224527.62204
95;1913149.757;4224130.21521
96;1914258.84646;4224158.92308
97;1913041.8909;4221538.8184
98;1915939.0489;4222874.6124
99;1914122.72957;4224908.67063
100;1915134.93296;4224658.74888
101;1915222.16556;4224846.2925
102;1915874.57097;4223134.11247
103;1914401.5427;4221914.81066
104;1914211.03686;4222229.26452
105;1914962.30753;4225222.61161
106;1914224.88355;4222007.1368
107;1914177.94477;4225036.10206
108;1915765.79046;4224528.52183
109;1914610.29224;4224545.01752
110;1912773.59221;4222059.57863
111;1913151.18299;4225821.65839
112;1915327.55993;4225113.55796
113;1914729.69218;4223836.48931
114;1914161.70414;4222497.73769
115;1914586.88229;4223843.36307
116;1913366.04009;4225418.13946
117;1913575.20614;4223201.31237
118;1913560.5568;4222420.36975
119;1914685.5001;4224185.5586
120;1913687.87206;4225139.85817
121;1915242.34515;4224986.57372
122;1915191.9926;4222915.36919
123;1916101.31956;4223244.8538
124;1914936.49811;4225507.03214
125;1912978.85366;4225245.09473
126;1912917.54849;4225428.09089
127;1915768.90629;4224588.07492
128;1912594.13458;4221725.84522
129;1915254.25979;4222035.22134
130;1915512.67318;4222931.89566
131;1914641.56519;4223616.47979
132;1915053.67302;4222550.27235
133;1915232.67709;4225768.1947
134;1914744.51282;4225427.05561
135;1913815.6858;4223295.80336
136;1912397.51278;4223639.2143
137;1913804.61786;4223146.90236
138;1915584.70446;4223021.48826
139;1913841.83174;4221501.19522
140;1912901.62205;4223757.30225
141;1912579.8826;4223061.62929
142;1913622.10369;4221739.15174
143;1914978.21107;4224501.11105
144;1915014.73132;4224622.35753
145;1914912.74222;4225296.61847
146;1912694.14346;4221939.02453
147;1915718.18017;4222592.58043
148;1914479.01759;4221761.19593
149;1914732.87038;4222278.05093
150;1915518.22502;4223277.12283
151;1914300.91228;4223938.2321
152;1915243.53193;4224865.80424
153;1914687.20612;4225397.19888
154;1915002.64916;4222391.36649
155;1915357.49528;4221543.77539
156;1914652.8821;4221565.05491
157;1915273.88454;4222712.30527
158;1915275.75957;4224672.72686
159;1915356.66391;4222941.80751
160;1915537.15986;4223337.45575
161;1915089.5664;4222717.84504
162;1912910.71647;4224794.28444
163;1912102.14352;4226284.91697
164;1913197.28863;4224784.13597
165;1914230.0457;4222062.85488
166;1914859.00424;4222598.11084
167;1915181.49061;4222683.6129
168;1915375.64578;4224632.09955
169;1913179.17976;4222812.18542
170;1914718.82384;4221612.93917
171;1914519.27853;4223210.99286
172;1912789.87547;4222005.76206
173;1914731.70952;4222620.30485
174;1913421.9255;4223321.98282
175;1914732.87567;4222602.64604
176;1913111.38943;4221981.81227
177;1914434.86467;4223093.28969
178;1914214.94771;4222173.12693
179;1914445.04448;4222154.0644
180;1913822.26314;4223413.95456
181;1914120.78407;4221825.21065
182;1912538.47998;4222482.40277
183;1915651.45015;4225193.36394
184;1915045.02182;4223318.03576
185;1915403.39006;4223110.90772
186;1912941.00833;4225045.83281
187;1914722.72832;4225890.50039
188;1915077.04504;4222168.60577
189;1912856.5339;4222811.07859
190;1914229.31453;4222108.07709
191;1915453.56552;4224700.39398
192;1913696.67193;4225109.37298
193;1914498.37368;4223252.78963
194;1915500.29114;4223168.58003
195;1914746.24657;4221745.48863
