id	coord_x	coord_y
0	1912263.23748	4226161.49953
1	1913645.08214	4223124.81551
2	1912633.65607	4221216.24226
3	1914462.2051	4224042.37761
4	1915513.62815	4222374.90409
5	1914288.02548	4221306.75113
6	1914492.80146	4222114.20224
7	1914454.99065	4221997.77975
8	1912489.44641	4222542.19676
9	1914889.59023	4222450.97376
10	1915352.8466	4224846.54077
11	1914906.1098	4222604.23163
12	1915670.35754	4223555.6238
13	1913821.63517	4224751.80075
14	1914958.10762	4222775.28878
15	1914937.54787	4223902.69588
16	1912502.70711	4223589.84104
17	1914229.82624	4221935.06852
18	1914972.73859	4225280.43042
19	1915591.48332	4222911.92541
20	1915547.82227	4222536.76687
21	1914451.19613	4224650.53428
22	1913779.98858	4221337.61297
23	1915534.65748	4224577.82517
24	1915366.40151	4222106.78065
25	1913922.85701	4223212.64688
26	1913959.09489	4221876.28062
27	1912763.52416	4221467.94803
28	1915268.98094	4224979.56538
29	1913209.29702	4225728.82135
30	1913794.97288	4222466.19186
31	1914825.77169	4222384.45376
32	1914461.33284	4221895.45725
33	1913128.82527	4222813.66798
34	1914271.002	4224517.50735
35	1915072.56348	4225137.68379
36	1915038.99233	4224753.20902
37	1913662.75774	4221460.22831
38	1912590.22432	4225845.40341
39	1912426.73593	4223612.00415
40	1915180.50285	4222678.57088
41	1915115.20706	4225741.79023
42	1913170.75518	4222274.94348
43	1912912.62661	4222820.44838
44	1913658.27713	4222516.48423
45	1914990.48381	4224999.84896
46	1915076.59667	4222522.82513
47	1915714.09536	4222472.06543
48	1912522.12224	4222712.91091
49	1914903.29076	4222322.6857
50	1914842.52622	4222018.49408
51	1914202.16477	4222225.58394
52	1912501.14839	4221928.25159
53	1914483.82788	4223933.08055
54	1913598.51591	4221500.43608
55	1915742.57206	4225364.77981
56	1913648.24547	4223166.54703
57	1913189.59536	4224853.12278
58	1914943.54378	4225385.47351
59	1914020.46279	4223727.12673
60	1914850.29637	4223957.55994
61	1913740.61543	4224637.07729
62	1912955.46917	4222995.71648
63	1915622.11628	4223591.12599
64	1914465.34758	4222290.53075
65	1915497.35823	4222762.77098
66	1913716.22003	4225222.29833
67	1915196.82509	4221618.93334
68	1914347.09747	4222192.48857
69	1914310.5425	4221996.30594
70	1913154.03102	4225273.64989
71	1914746.32359	4222439.64935
72	1914957.1441	4222315.67688
73	1913979.35995	4221970.8079
74	1915024.23703	4222646.43101
75	1914243.24602	4221302.23731
76	1915688.49081	4223582.56287
77	1915044.05609	4222016.35041
78	1915283.24122	4223051.41717
79	1912920.88151	4224788.31133
80	1914343.47771	4224144.58846
81	1914666.62425	4222890.90102
82	1912980.03349	4224811.95468
83	1913627.52117	4222460.6417
84	1915721.64041	4222507.47482
85	1912747.83984	4222032.64943
86	1912445.99825	4221684.01324
87	1913156.84509	4223137.22319
88	1913155.19992	4223108.94868
89	1912704.36231	4221875.82371
90	1915105.26794	4224852.20174
91	1915427.66319	4223042.86819
92	1914109.16178	4223725.98696
93	1913753.99148	4225187.64239
94	1913482.16379	4225170.63439
95	1914529.69249	4221436.82011
96	1913428.49507	4225524.99116
97	1914780.30067	4224289.57661
98	1912577.83302	4223725.14447
99	1913153.31016	4222087.39836
100	1913453.24486	4224274.31123
101	1914815.60964	4220896.70857
102	1913339.05012	4223000.8589
103	1914079.67084	4223477.37061
104	1913005.1842	4223038.03302
105	1911933.10125	4226229.63716
106	1914410.0311	4223662.00221
107	1914050.41046	4221758.52783
108	1914069.72506	4221657.84508
109	1914819.00161	4222076.04463
110	1915027.70663	4222660.01043
111	1915003.43088	4222409.04266
112	1914289.24422	4224112.98418
113	1915329.33399	4224702.88373
114	1913758.36554	4223280.29514
115	1912665.89449	4223124.50118
116	1915378.07687	4222941.03473
117	1912613.7845	4223234.35725
118	1915075.86603	4225162.37329
119	1914408.85138	4221304.31194
120	1915140.80631	4222614.01761
121	1912803.23917	4225004.01793
122	1912520.35349	4221822.87866
123	1915256.56558	4225187.25617
124	1913740.62151	4225185.2812
125	1915621.19373	4224249.24269
126	1914610.07479	4222058.37419
127	1914460.13298	4221449.2722
128	1913147.76488	4223575.71561
129	1912462.53872	4221681.68905
130	1914804.63899	4221930.40952
131	1915334.23226	4221393.87584
