"arbre_enceintes_fermees";"arbre_espaces_ouverts";"arbre_voirie";"bois_semi_naturel";"caterpilar_treatment";"closest_industrial_zone";"closest_mall";"closest_motorway";"closest_parking";"closest_river";"closest_road";"closest_train_station";"coord_x";"coord_y";"development_status";"development_status_diagnosis";"diagnosis_note";"diagnosis_year";"environment_busyness";"renewal_priority";"sector1";"sector2";"sector3";"sector4";"sector5";"sector6";"seeding_year";"stump_diameter";"vigor";"wtd_autre";"wtd_controle";"wtd_pas_travail";"wtd_taille";"sidewalk_proximity";"collar";"crown";"root";"trunk"
0.0;0.0;1.0;0.0;1.0;799.0524291992188;79.59516906738281;1384.30029296875;117.70884704589844;379.8378601074219;2.727036476135254;544.1793823242188;1913732.375;4224626.0;0.5;0.5;0.0;0.5;1.0;0.3333333432674408;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2222222238779068;0.0;0.0;0.0;1.0;0.0;0.0;"true";"false";"false";"false"
1.0;0.0;0.0;0.0;1.0;804.7315063476562;1214.1605224609375;1371.5430908203125;116.82389068603516;191.46400451660156;3.2876594066619873;2416.07177734375;1915620.75;4225165.5;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1111111119389534;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"false";"false"
1.0;0.0;0.0;0.0;1.0;804.3858032226562;1207.232177734375;1376.28076171875;116.90235137939453;183.9072723388672;3.61372709274292;2409.12158203125;1915613.5;4225167.5;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1666666716337204;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"false";"false"
1.0;0.0;0.0;0.0;1.0;700.371337890625;1318.17919921875;1246.010009765625;119.26449584960938;260.1866760253906;2.344963312149048;2518.54052734375;1915710.375;4225256.0;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0555555559694767;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"false";"false"
1.0;0.0;0.0;0.0;1.0;675.9227294921875;1238.736083984375;1299.2728271484375;118.15235137939453;161.92601013183594;2.3627021312713623;2436.31103515625;1915619.0;4225298.5;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2777777910232544;0.0;0.0;0.0;0.0;1.0;1.0;"true";"true";"false";"false"
1.0;0.0;0.0;0.0;1.0;818.4078979492188;1288.072509765625;1326.0235595703125;86.3746337890625;273.480712890625;5.220942497253418;2489.9560546875;1915698.875;4225138.5;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1111111119389534;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"false";"false"
1.0;0.0;0.0;0.0;1.0;790.7386474609375;1308.0911865234375;1296.56591796875;113.48918151855469;284.5777893066406;3.656442642211914;2510.05517578125;1915715.75;4225164.5;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1111111119389534;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"false";"false"
1.0;0.0;0.0;0.0;1.0;793.6646728515625;1118.11328125;1434.4801025390625;170.19223022460938;80.09886169433594;2.893712043762207;2318.8701171875;1915516.0;4225208.0;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1666666716337204;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"true";"false"
1.0;0.0;0.0;0.0;1.0;993.6165771484375;909.64453125;1666.927978515625;226.51263427734375;89.73417663574219;5.897170543670654;2111.238037109375;1915325.125;4225075.0;0.5;0.5;0.25;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2777777910232544;0.0;0.0;0.0;0.0;1.0;1.0;"false";"true";"false";"false"
0.0;0.0;1.0;0.0;1.0;933.3719482421875;208.98886108398438;1497.2833251953125;34.13581848144531;279.8041076660156;6.268206596374512;624.38818359375;1913846.125;4224741.5;0.5;0.5;0.25;0.5;1.0;0.3333333432674408;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3333333432674408;0.5;0.0;0.0;0.0;1.0;0.0;"false";"false";"true";"true"
