NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
7481;2004-01-01 00:00:00;986.1;1015.6;3.6;4.2;6.2;1.1;6.4;57;15;61;26;31;31;31;31;31;;;;;2;13;4;;;;5;4;;;18;5;0;0;0;5;13.8;2004-01-13 00:00:00;-1.2;2004-01-04 00:00:00;16;2004-01-13 00:00:00;-6.2;2004-01-30 00:00:00;7.8;2004-01-19 00:00:00;25;2004-01-26 00:00:00;1;1;6;18
7577;2004-01-01 00:00:00;1006.3;1015.4;5.1;3.1;8;2.5;7;33;10;83;26;31;31;31;31;31;;;;;0;8;1;;;;;;;;21;5;0;0;0;2;10.8;2004-01-13 00:00:00;0.8;2004-01-04 00:00:00;13.8;2004-01-13 00:00:00;-2.1;2004-01-30 00:00:00;6;2004-01-26 00:00:00;26;2004-01-18 00:00:00;;;6;18
7591;2004-01-01 00:00:00;910.8;;-0.4;4.1;4.8;-4.1;4.6;146;10;129;27;31;31;31;31;31;;;;;1;28;6;5;0;;;;;;17;1;0;;;;6.4;2004-01-13 00:00:00;-5.8;2004-01-30 00:00:00;9.4;2004-01-10 00:00:00;-12.3;2004-01-30 00:00:00;39;2004-01-12 00:00:00;20;2004-01-29 00:00:00;;;6;18
7481;2004-02-01 00:00:00;992;1021.5;3.9;3.9;8.2;0.6;6.3;34;5;135;25;28;29;28;29;29;;;;;0;14;1;1;0;;3;2;;;12;0;0;0;0;3;9.4;2004-02-01 00:00:00;-0.5;2004-02-27 00:00:00;16.7;2004-02-01 00:00:00;-4.7;2004-02-27 00:00:00;25.8;2004-02-22 00:00:00;14;2004-02-18 00:00:00;;;6;18
7577;2004-02-01 00:00:00;1011.1;1020.3;5.5;3.2;9.3;2.4;6.5;61;4;138;25;29;29;29;29;29;;;;;0;5;3;1;0;;;;;;19;6;0;0;0;4;9;2004-02-22 00:00:00;1.6;2004-02-27 00:00:00;15.9;2004-02-03 00:00:00;-3;2004-02-04 00:00:00;41.6;2004-02-22 00:00:00;23;2004-02-09 00:00:00;;;6;18
7591;2004-02-01 00:00:00;915.6;;2.5;4.6;9.3;-2.1;4.2;28;3;186;26;29;29;29;29;29;;;;;0;21;2;1;0;;;;;;17;2;0;;;;7.8;2004-02-05 00:00:00;-2.7;2004-02-29 00:00:00;16.1;2004-02-05 00:00:00;-7.6;2004-02-29 00:00:00;17;2004-02-22 00:00:00;28;2004-02-20 00:00:00;;;6;18
7481;2004-03-01 00:00:00;992.1;1021.4;7;5.5;11.9;2.9;7.1;72;8;158;24;31;31;31;31;31;;;;;0;10;4;1;0;;;;;;16;0;0;0;0;2;16.1;2004-03-17 00:00:00;0.1;2004-03-01 00:00:00;24.1;2004-03-17 00:00:00;-3.7;2004-03-02 00:00:00;41;2004-03-13 00:00:00;18;2004-03-12 00:00:00;1;0;6;18
7577;2004-03-01 00:00:00;1011.6;1020.8;8.4;4.7;13.6;3.9;7.3;38;6;178;29;31;31;31;31;31;;;;;;;2;1;0;;;;;;25;3;0;0;0;1;14.6;2004-03-20 00:00:00;2.5;2004-03-01 00:00:00;22.9;2004-03-17 00:00:00;0;2004-03-02 00:00:00;19.4;2004-03-13 00:00:00;21;2004-03-03 00:00:00;;;6;18
7591;2004-03-01 00:00:00;916.5;;5.6;6;12.4;0.1;4.6;8;2;240;26;31;31;31;31;31;;;;;0;16;1;;;;;;;;23;1;0;;;;13.8;2004-03-17 00:00:00;-0.6;2004-03-01 00:00:00;23.4;2004-03-17 00:00:00;-7;2004-03-03 00:00:00;5.4;2004-03-31 00:00:00;24;2004-03-30 00:00:00;;;6;18
7481;2004-04-01 00:00:00;984.7;1013.4;11.1;4.3;15.8;6.9;8.9;44;8;136;24;29;30;29;30;30;;;;;;;4;1;0;;;;;;21;0;0;;;;16.6;2004-04-27 00:00:00;5;2004-04-09 00:00:00;23.6;2004-04-21 00:00:00;1.1;2004-04-08 00:00:00;17.6;2004-04-22 00:00:00;18;2004-04-02 00:00:00;;;6;18
