Station|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble Grands Boulevards|Grenoble Grands Boulevards|Grenoble Grands Boulevards
Famille de polluant|En continu|En continu|En continu|En continu|En continu|En continu|En continu|En continu|Volatil|Hydrocarbure|En différé|Hydrocarbure|Hydrocarbure|Hydrocarbure|Hydrocarbure|En continu|Hydrocarbure|En continu|En continu|En continu|Volatil|Métaux lourds|En différé, métaux lourds|Métaux lourds|Volatil|Hydrocarbure|En différé|Hydrocarbure|Hydrocarbure|Hydrocarbure|En différé, métaux lourds|Métaux lourds|Métaux lourds|Métaux lourds|Hydrocarbure|En continu|En continu|Volatil|Hydrocarbure|Volatil|Métaux lourds|Métaux lourds|En continu|En différé, métaux lourds|Volatil|En continu|En continu|En continu|En différé, métaux lourds|Métaux lourds|Volatil|Métaux lourds|Métaux lourds|En continu|En continu|En continu
Polluant|Dioxyde d'azote|Monoxyde d'azote|Ozone|Particules PM10|Dioxyde d'azote|Monoxyde d'azote|Ozone|Particules PM10|Benzène|Benzo(a)anthracène|Benzo(a)pyrène|Benzo(b)fluoranthène|Benzo(j)fluoranthène|Benzo(k)fluoranthène|Dibenzo(a,h)anthracène|Dioxyde d'azote|Indéno(1,2,3-cd)pyrène|Monoxyde d'azote|Particules PM10|Particules PM2,5|Toluène|Antimoine|Arsenic|Baryum|Benzène|Benzo(a)anthracène|Benzo(a)pyrène|Benzo(b)fluoranthène|Benzo(j)fluoranthène|Benzo(k)fluoranthène|Cadmium|Chrome|Cobalt|Cuivre|Dibenzo(a,h)anthracène|Dioxyde d'azote|Dioxyde soufre|EthylBenzene|Indéno(1,2,3-cd)pyrène|m+p-Xylène|Manganèse|Mercure|Monoxyde d'azote|Nickel|o-Xylene|Ozone|Particules PM10|Particules PM2,5|Plomb|Thallium|Toluène|Vanadium|Zinc|Dioxyde d'azote|Monoxyde d'azote|Particules PM10
Mesure|Dioxyde d'azote|Monoxyde d'azote|Ozone|Particules PM10|Dioxyde d'azote|Monoxyde d'azote|Ozone|Particules PM10|Benzène|Benzo(a)anthracène|Benzo(a)pyrène|Benzo(b)fluoranthène|Benzo(j)fluoranthène|Benzo(k)fluoranthène|Dibenzo(a,h)anthracène|Dioxyde d'azote|Indéno(1,2,3-cd)pyrène|Monoxyde d'azote|Particules PM10|Particules PM2.5|Toluène|Antimoine|Arsenic|Baryum|Benzène|Benzo(a)anthracène|Benzo(a)Pyrène|Benzo(b)fluoranthène|Benzo(j)fluoranthène|Benzo(k)fluoranthène|Cadmium|Chrome|Cobalt|Cuivre|Dibenzo(a,h)anthracène|Dioxyde d'azote|Dioxyde de soufre|EthylBenzene|Indéno(1,2,3-cd)pyrène|m+p-Xylène|Manganèse|Mercure|Monoxyde d'azote|Nickel|o-Xylene|Ozone|Particules PM10|Particules PM2.5|Plomb|Thallium|Toluène|Vanadium|Zinc|Dioxyde d'azote|Monoxyde d'azote|Particules PM10
Unité|microg/m3|microg/m3|microg/m3|microg/m3|microg/m3|microg/m3|microg/m3|microg/m3|microg/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|microg/m3|nanog/m3|microg/m3|microg/m3|microg/m3|microg/m3|nanog/m3|nanog/m3|nanog/m3|microg/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|nanog/m3|microg/m3|microg/m3|microg/m3|nanog/m3|microg/m3|nanog/m3|nanog/m3|microg/m3|nanog/m3|microg/m3|microg/m3|microg/m3|microg/m3|nanog/m3|nanog/m3|microg/m3|nanog/m3|nanog/m3|microg/m3|microg/m3|microg/m3
janv-04|-|-|24|-|41|48|16|-|2,9|-|-|-|-|-|-|57|-|109|-|-|21,3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|42|10|-|-|-|-|-|31|-|-|18|-|-|-|-|-|-|-|-|-|-
févr-04|46|21|28|-|45|60|16|-|3|-|-|-|-|-|-|60|-|97|-|-|23,8|-|-|-|-|-|-|-|-|-|-|-|-|-|-|45|11|-|-|-|-|-|28|-|-|20|-|-|-|-|-|-|-|-|-|-
mars-04|37|8|50|-|38|19|41|-|2,1|-|-|-|-|-|-|59|-|72|-|-|15,6|-|-|-|-|-|-|-|-|-|-|-|-|-|-|36|6|-|-|-|-|-|9|-|-|40|-|-|-|-|-|-|-|-|-|-
avr-04|26|3|62|-|30|7|52|-|1,4|-|-|-|-|-|-|50|-|56|-|-|11,6|-|-|-|-|-|-|-|-|-|-|-|-|-|-|25|-|-|-|-|-|-|4|-|-|56|-|-|-|-|-|-|-|-|-|-
mai-04|20|2|76|-|23|3|62|-|0,9|-|-|-|-|-|-|50|-|47|-|-|8,9|-|-|-|-|-|-|-|-|-|-|-|-|-|-|21|4|-|-|-|-|-|2|-|-|70|-|-|-|-|-|-|-|-|-|-
juin-04|-|-|77|-|21|3|65|-|1,6|-|-|-|-|-|-|53|-|50|-|-|12,9|-|-|-|-|-|-|-|-|-|-|-|-|-|-|20|2|-|-|-|-|-|1|-|-|72|-|-|-|-|-|-|-|-|-|-
juil-04|19|1|85|-|21|2|74|-|1,2|-|-|-|-|-|-|54|-|44|-|-|9,8|-|-|-|-|-|-|-|-|-|-|-|-|-|-|19|2|-|-|-|-|-|1|-|-|80|-|-|-|-|-|-|-|-|-|-
août-04|16|2|67|-|19|2|-|-|1,2|-|-|-|-|-|-|49|-|45|-|-|10,7|-|-|-|-|-|-|-|-|-|-|-|-|-|-|17|0|-|-|-|-|-|2|-|-|63|-|-|-|-|-|-|-|-|-|-
sept-04|23|5|54|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|25|1|-|-|-|-|-|5|-|-|50|-|-|-|-|-|-|-|-|-|-
