Station	Famille de polluant	Polluant	Mesure	Unité	janv-04	févr-04	mars-04	avr-04	mai-04	juin-04	juil-04	août-04	sept-04	oct-04	nov-04	déc-04	janv-05	févr-05	mars-05	avr-05	mai-05	juin-05	juil-05	août-05	sept-05	oct-05	nov-05	déc-05	janv-06	févr-06	mars-06	avr-06	mai-06	juin-06	juil-06	août-06	sept-06	oct-06	nov-06	déc-06	janv-07	févr-07	mars-07	avr-07	mai-07	juin-07	juil-07	août-07	sept-07	oct-07	nov-07	déc-07	janv-08	févr-08	mars-08	avr-08	mai-08	juin-08	juil-08	août-08	sept-08	oct-08	nov-08	déc-08	janv-09	févr-09	mars-09	avr-09	mai-09	juin-09	juil-09	août-09	sept-09	oct-09	nov-09	déc-09	janv-10	févr-10	mars-10	avr-10	mai-10	juin-10	juil-10	août-10	sept-10	oct-10	nov-10	déc-10	janv-11	févr-11	mars-11	avr-11	mai-11	juin-11	juil-11	août-11	sept-11	oct-11	nov-11	déc-11	janv-12	févr-12	mars-12	avr-12	mai-12	juin-12	juil-12	août-12	sept-12	oct-12	nov-12	déc-12	janv-13	févr-13	mars-13	avr-13	mai-13	juin-13	juil-13	août-13	sept-13	oct-13	nov-13	déc-13	janv-14	févr-14	mars-14	avr-14	mai-14	juin-14	juil-14	août-14	sept-14	oct-14	nov-14	déc-14	janv-15	févr-15	mars-15	avr-15	mai-15	juin-15	juil-15	août-15	sept-15	oct-15	nov-15	déc-15
Fontaine les Balmes	En continu	Dioxyde d'azote	Dioxyde d'azote	microg/m3	-	46	37	26	20	-	19	16	23	29	34	42	46	41	34	26	20	18	16	16	22	28	35	40	50	42	33	21	17	16	16	11	20	26	32	40	39	44	27	25	18	16	13	13	19	27	32	40	48	47	27	21	15	16	13	10	18	26	31	39	42	31	27	20	16	13	12	13	18	25	36	35	46	39	23	20	15	12	10	10	15	22	28	40	36	39	28	14	10	12	12	11	17	23	41	38	39	35	24	15	14	16	12	11	16	23	31	27	28	26	23	15	9	9	10	8	13	16	-	42	35	30	26	18	13	14	14	13	18	22	34	36	39	34	28	15	13	14	14	13	15	25	34	45
Fontaine les Balmes	En continu	Monoxyde d'azote	Monoxyde d'azote	microg/m3	-	21	8	3	2	-	1	2	5	12	32	35	34	15	7	5	2	1	2	2	6	13	24	21	32	16	7	4	3	2	1	2	3	10	23	34	31	20	5	4	2	3	3	2	5	11	18	29	30	19	5	2	2	2	2	1	6	12	15	19	20	7	4	2	1	1	1	1	4	7	21	14	17	9	4	2	2	2	1	1	3	8	12	21	17	15	5	2	1	1	1	1	3	7	31	21	21	8	4	2	1	4	2	1	3	11	25	20	23	16	11	7	4	4	4	3	7	10	-	34	22	7	4	4	2	2	2	2	4	8	23	28	22	9	6	2	1	2	1	1	3	10	23	52
Fontaine les Balmes	En continu	Ozone	Ozone	microg/m3	24	28	50	62	76	77	85	67	54	24	13	10	12	29	51	66	74	83	76	56	42	20	14	13	11	25	48	61	64	91	92	59	51	29	26	12	14	20	51	73	62	63	65	56	46	23	20	13	15	25	52	69	66	61	63	55	26	14	14	7	13	30	33	50	55	56	59	56	-	32	19	18	16	33	49	72	56	68	85	61	50	28	22	17	21	24	42	-	-	63	64	69	43	28	11	18	16	32	56	63	65	60	66	75	47	23	19	19	15	34	45	57	59	67	82	73	45	23	15	20	19	36	52	66	68	82	59	56	47	27	12	15	19	28	40	67	69	74	89	68	54	21	15	-
Fontaine les Balmes	En continu	Particules PM10	Particules PM10	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	34	29	33	21	19	19	21	23	33	29	41	32	42	19	16	19	21	21	17	22	32	27	31	48	30	31	29	30	25	23	23	31	29	31	28	35	30	28	25	20	23	26	17	17	23	19	28	35	41	34	23	19	15	15	21	20	21	38	22	26	38	25	17	18	24	21	24	26	24	27	22	30	31	26	22	11	18	24	21	17	19	21	31	21	15	27	22	13	19	16	17	24	20	24	19	18	24	27	15	17	16	23	19	17	25	26	34
Saint-Martin d'Heres	En continu	Dioxyde d'azote	Dioxyde d'azote	microg/m3	41	45	38	30	23	21	21	19	-	27	35	42	54	47	48	30	23	21	20	21	29	32	39	44	56	47	41	27	21	19	21	13	26	30	36	40	44	51	35	29	19	17	18	15	24	32	33	42	48	54	32	22	18	13	13	11	23	30	36	46	51	39	31	19	18	14	13	16	23	31	40	41	54	45	36	24	19	19	14	16	23	28	37	48	44	52	37	21	16	15	14	14	22	26	44	42	41	40	34	17	15	15	14	15	22	26	32	41	43	-	35	23	13	14	13	12	19	21	31	46	39	34	34	21	14	14	12	12	20	28	36	36	42	44	33	21	16	15	12	14	20	32	43	58
Saint-Martin d'Heres	En continu	Monoxyde d'azote	Monoxyde d'azote	microg/m3	48	60	19	7	3	3	2	2	-	23	72	53	79	35	23	8	3	2	2	2	10	24	43	32	59	29	12	6	3	1	1	2	5	18	49	53	53	45	14	6	2	2	2	2	6	22	26	44	53	48	12	4	3	2	2	2	9	20	26	35	39	18	11	3	1	1	1	1	3	14	36	22	37	12	7	3	1	1	1	2	5	14	23	30	34	32	10	4	2	2	2	2	6	14	60	40	40	16	15	3	2	2	1	1	5	19	37	26	27	-	8	4	2	1	1	1	5	10	21	-	38	11	10	4	1	1	1	1	5	17	42	38	35	17	10	3	1	1	0	1	3	17	50	103
Saint-Martin d'Heres	En continu	Ozone	Ozone	microg/m3	16	16	41	52	62	65	74	-	-	14	10	8	12	29	35	51	63	74	66	49	33	15	11	11	9	20	41	52	55	83	83	53	39	21	22	11	11	16	39	60	53	56	59	51	37	15	16	11	13	17	42	58	60	59	63	50	30	15	13	6	14	25	43	60	62	67	70	66	40	25	12	11	10	27	39	63	52	63	82	55	38	22	18	13	16	17	30	59	63	50	44	61	35	21	9	13	12	25	42	56	66	60	63	62	35	16	16	13	10	24	32	47	50	58	70	57	34	18	14	15	13	30	43	56	61	77	56	50	39	20	11	12	20	29	37	66	66	73	91	63	47	17	9	4
Saint-Martin d'Heres	En continu	Particules PM10	Particules PM10	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	43	34	33	22	18	18	17	24	37	32	42	39	52	18	16	23	21	22	18	25	34	30	33	51	34	30	29	30	25	24	23	28	32	35	32	38	31	34	-	17	22	24	18	17	21	23	30	41	49	36	22	17	12	13	16	16	23	44	27	31	44	33	17	20	22	20	23	23	25	28	23	32	33	27	23	11	18	23	20	20	18	23	37	25	16	29	23	14	19	16	17	24	-	23	20	21	22	25	13	13	13	18	14	13	21	25	32
Grenoble Rocade Sud	Volatil	Benzène	Benzène	microg/m3	2,9	3	2,1	1,4	0,9	1,6	1,2	1,2	-	-	3,2	3,5	3,4	2,7	1,8	1,2	0,9	1,2	1,2	1	1,5	1,9	2,4	2,6	3,5	2,6	-	1,5	1,1	-	0,9	0,9	1,3	-	-	2,9	2,6	2,7	1,6	1,2	0,9	0,7	0,8	0,8	1	1,6	2	2,8	2,7	2,2	1,2	0,9	0,5	0,3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Grenoble Rocade Sud	Hydrocarbure	Benzo(a)anthracène	Benzo(a)anthracène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,56	0,2	0,1	0,06	0,06	0,04	0,05	0,07	0,2	0,84	0,96	0,54	0,49	0,43	0,11	0,05	0,05	0,03	0,03	0,05	0,07	0,39	1,35	0,54	0,24	0,13	0,09	0,04	0,04	0,06	0,04	0,05	0,22	0,47	0,84	0,817	0,342	0,174	0,089	0,053	0,051	0,034	0,07	0,07	0,244	0,601	1,113
