"Date";"Temp max extreme";"Temp max moyenne";"Temp moyenne";"Temp mini moyenne";"Temp mini extreme";"Temp maxi minimale";"Temp mini maximale";"DJU chauffagiste total";"DJU chauffagiste moyen";"DJU climaticien total";"DJU climaticien moyen";"Ensoleillement total (h)";"Ensoleillement moyen (h)";"Precipitations cumul";"Precipitation max en 1j";"Precipitation max en 5j";"Precipitation moyenne";"Neige au sol max";"Rafale maximale";"Pression min";"Pression max"
"2004";"35.7";"16.0";"10.8";"5.7";"-12.2";"-1.9";"20.4";"2974.7";"248";"500.1";"42";"2070.5";"173";"751.6";"72.6";"104.6";"6.8";"10,0";"90.7";"989.7";"1037.2"
"2005";"36.7";"15.5";"10.4";"5.3";"-20.2";"-4.0";"19.9";"3114.9";"260";"413.4";"34";"2237.8";"186";"829.9";"45.2";"100.6";"8.4";"24,0";"79.5";"996.1";"1040.7"
"2006";"35.8";"16.9";"11.6";"6.4";"-8.1";"-4.4";"20.7";"2754.8";"230";"593.5";"49";"2219.9";"185";"784.4";"43.0";"71.2";"9.5";"17,0";"90.7";"991.9";"1038.5"
"2007";"31.1";"16.0";"11.0";"6.1";"-11.0";"-4.0";"17.7";"2785.7";"232";"276.7";"23";"2027.3";"169";"846.2";"47.6";"76.8";"7.0";"15,0";"90.7";"995.4";"1038.1"
"2008";"31.8";"15.8";"10.9";"6.1";"-9.8";"-0.6";"18.9";"2864.6";"239";"314.9";"26";"1957.5";"163";"992.0";"56.8";"135.0";"8.9";"16,0";"103.5";"988.7";"1041.0"
"2009";"37.0";"16.8";"11.3";"6.1";"-17.7";"-5.5";"20.3";"2815.7";"235";"514.8";"43";"2166.1";"181";"696.6";"33.8";"49.0";"7.9";"10,0";"79.5";"981.7";"1034.6"
"2010";"35.0";"15.1";"10.0";"5.2";"-15.2";"-4.8";"20.0";"3207.6";"267";"491.9";"41";"2018.7833";"168";"928.8";"57.9";"77.7";"9.1";"25,0";"85.2";"980.5";"1036.0"
"2011";"34.8";"17.3";"11.8";"6.3";"-10.9";"-2.0";"19.6";"1944.4";"162";"162.1";"14";"2383.5653";"199";"853.7";"52.5";"101.1";"9.8";"6,0";"85.2";"994.8";"1041.1"
"2012";"36.1";"16.3";"11.1";"6.0";"-19.4";"-7.0";"19.5";"2878.7";"240";"407.9";"34";"2129.2323";"177";"934.7";"66.3";"131.5";"8.2";"10,0";"85.2";"990.5";"1038.1"
"2013";"33.9";"15.2";"10.5";"5.8";"-13.8";"-4.2";"18.6";"3043.6";"254";"349.6";"29";"1983.8013";"165";"1139.2";"57.0";"88.5";"10.5";"16,0";"103.7";"985.5";"1047.4"
"2014";"32.8";"17.1";"12.0";"6.9";"-6.5";"-1.9";"18.3";"2481.4";"207";"311.4";"26";"2025.401";"169";"1075.4";"75.2";"79.8";"9.4";"0,0";"75.9";"988.6";"1038.8"
"2015";"36.1";"17.2";"11.8";"6.4";"-9.2";"-2.1";"21.3";"2665.2";"222";"434.4";"36";"2315.567";"193";"757.6";"56.5";"82.4";"8.2";"167,0";"90.7";"984.8";"1040.8"
