species,number_of_sick_trees,number_of_trees,percentage_of_sick
simonii,3,3,100.0000
virginiacus,1,1,100.0000
laurocerasus,1,1,100.0000
"mugo mughus",1,1,100.0000
trilobata,1,1,100.0000
strobus,1,1,100.0000
willosa,3,3,100.0000
chrysocoma,2,2,100.0000
"procera ",1,1,100.0000
pavia,1,1,100.0000
coromaria,1,1,100.0000
harringtonia,1,1,100.0000
big0oides,26,32,81.2500
ginnala,15,19,78.9474
aquifolium,3,4,75.0000
rubra,7,10,70.0000
palustris,4,6,66.6667
exelsa,2,3,66.6667
lotus,2,3,66.6667
ceracifera,18,28,64.2857
robusta,59,94,62.7660
papyrifera,13,21,61.9048
pseudoacacia,64,105,60.9524
lawsoniana,98,163,60.1227
distychum,3,5,60.0000
leylandii,17,31,54.8387
jullibrissin,8,15,53.3333
negundo,30,59,50.8475
pungens,4,8,50.0000
babylonica,1,2,50.0000
dioicus,2,4,50.0000
kobus,1,2,50.0000
minor,18,36,50.0000
lusitanica,1,2,50.0000
dulcis,1,2,50.0000
japonicum,1,2,50.0000
pomifera,1,2,50.0000
decurens,10,21,47.6190
pseudoplatanus,137,290,47.2414
excelsior,93,197,47.2081
nigra,308,700,44.0000
saccharinum,74,177,41.8079
fraxinifolia,7,17,41.1765
alba,37,91,40.6593
siliquastrum,46,114,40.3509
platanoides,161,401,40.1496
giganteum,2,5,40.0000
yedoensis,2,5,40.0000
bombycis,4,10,40.0000
coggygria,2,5,40.0000
pensylvanica,5,13,38.4615
hippocastanum,62,163,38.0368
tomentosa,163,430,37.9070
robur,12,32,37.5000
retusus,3,8,37.5000
verrucosa,84,232,36.2069
glutinosa,5,14,35.7143
campestris,81,227,35.6828
oxycarpa,6,17,35.2941
japonica,68,194,35.0515
carnea,2,6,33.3333
tortuosa,1,3,33.3333
kagayamae,1,3,33.3333
vulgaris,1,3,33.3333
europaea,1,3,33.3333
serrulata,44,132,33.3333
everest,1,3,33.3333
floribunda,10,30,33.3333
concolor,1,3,33.3333
utilis,54,163,33.1288
acerifolia,598,1841,32.4823
angustifolia,12,37,32.4324
cordata,83,256,32.4219
altissima,8,25,32.0000
campestre,6,19,31.5789
freemani,5,16,31.2500
sylvatica,17,57,29.8246
betulus,67,230,29.1304
griffiti,2,7,28.5714
soulangiana,4,14,28.5714
atlantica,31,109,28.4404
platyphyllos,26,93,27.9570
baccata,12,44,27.2727
grandiflora,40,151,26.4901
arizonica,6,23,26.0870
styraciflua,82,319,25.7053
avellana,1,4,25.0000
glabra,1,4,25.0000
pendula,1,4,25.0000
oxyacantha,1,4,25.0000
abies,12,49,24.4898
ornus,9,37,24.3243
indica,4,17,23.5294
deodara,6,27,22.2222
occidentalis,2,9,22.2222
paniculata,15,69,21.7391
biloba,8,37,21.6216
plicata,1,5,20.0000
regia,1,5,20.0000
resista,1,5,20.0000
colurna,10,57,17.5439
australis,7,41,17.0732
cerasus,1,6,16.6667
triacanthos,18,110,16.3636
petraea,4,25,16.0000
cappadocicum,13,86,15.1163
canadensis,3,21,14.2857
sylvestris,24,177,13.5593
nordmaniana,1,8,12.5000
tulipifera,25,202,12.3762
calleryana,16,136,11.7647
sempervirens,6,51,11.7647
americana,10,86,11.6279
danielli,4,35,11.4286
tremula,1,11,9.0909
domestica,1,11,9.0909
rubrum,1,12,8.3333
monspessulanum,2,24,8.3333
frainetto,1,14,7.1429
orientalis,3,48,6.2500
carpinifolia,1,21,4.7619
avium,1,31,3.2258
cerris,2,63,3.1746
serrata,1,37,2.7027
